id,question,answer_a,answer_b,answer_c,answer_d,correct,tag,subtag,explanation
1,Quelle est la devise officielle de la France ?,"Liberté, Justice, Solidarité","Liberté, Égalité, Fraternité","Unité, Travail, Progrès","Liberté, Égalité, Propriété","Liberté, Égalité, Fraternité",VIR,1,C'est le symbole du patrimoine national inscrit dans la Constitution.
2,En quelle année la devise est-elle apparue pour la première fois ?,1789,1848,1958,1901,1789,VIR,1,Elle apparaît pendant la Révolution française quand les citoyens demandent plus de justice.
4,Quel est le principe fondamental de la Liberté en France ?,Faire tout ce qu'on veut,Ma liberté ne doit pas gêner celle des autres,Réservée aux citoyens nés en France,Elle est plus importante que la loi,Ma liberté ne doit pas gêner celle des autres,VIR,1,La liberté consiste à pouvoir faire tout ce qui ne nuit pas à autrui.
6,Quel comportement est une discrimination interdite par la loi ?,Tarifs réduits pour étudiants,Traiter mal quelqu'un selon son origine ou religion,Demander des compétences spécifiques,Fixer des prix différents,Traiter mal quelqu'un selon son origine ou religion,VIR,1,La discrimination est punie par des amendes ou de la prison.
7,Comment l'État français met-il en pratique la Fraternité ?,"Par la solidarité collective (RSA, Sécurité sociale)",Obligation de vivre avec ses voisins,Repas obligatoires les jours de fête,Interdiction des conflits,"Par la solidarité collective (RSA, Sécurité sociale)",VIR,1,La fraternité se traduit par l'aide aux plus démunis.
8,Que signifie le mot "Laïcité" en France ?,L'État ne s'occupe pas de religion et garantit la liberté de culte,L'interdiction de toutes les religions,L'obligation d'être catholique,Le mélange du politique et du religieux,L'État ne s'occupe pas de religion et garantit la liberté de culte,LAI,1,La laïcité permet à chacun de pratiquer sa religion ou de ne pas en avoir.
10,Quelle est la langue officielle de la France ?,L'anglais et le français,Le français uniquement,Le français et les langues régionales,Le latin,Le français uniquement,VIR,1,L'usage du français est obligatoire pour les documents officiels et l'enseignement.
11,Quel est l'emblème national de la France ?,Le Coq gaulois,Le drapeau bleu blanc rouge,La Tour Eiffel,Le lys,Le drapeau bleu blanc rouge,VIR,1,Le drapeau tricolore est le seul emblème national défini par la Constitution.
12,Comment s'appelle l'hymne national français ?,La Marseillaise,Le Chant du départ,L'Ode à la joie,La Parisienne,La Marseillaise,VIR,1,C'est un chant patriotique qui symbolise la défense de la République.
14,Qui est Marianne ?,Une ancienne reine de France,L'allégorie de la République,Une célèbre chanteuse,La première femme présidente,L'allégorie de la République,VIR,1,Marianne porte le bonnet phrygien et représente la liberté.
15,Où peut-on voir le buste de Marianne ?,Dans les gares,Dans toutes les mairies,Uniquement à Paris,Dans les écoles privées,Dans toutes les mairies,VIR,1,Marianne est présente dans les lieux officiels de la République.
16,Que fête-t-on le 14 juillet ?,La fin de la Seconde Guerre mondiale,La fête nationale (Prise de la Bastille),La naissance de Napoléon,La fête du travail,La fête nationale (Prise de la Bastille),VIR,1,C'est le jour qui unit tous les Français autour des valeurs de 1789.
18,Quel est l'un des devoirs principaux d'un citoyen ?,Partir en vacances en France,Respecter les lois,Posséder une voiture,Travailler dans l'administration,Respecter les lois,VIR,1,Nul n'est censé ignorer la loi et tout le monde doit s'y soumettre.
19,Payer ses impôts est-il un devoir ?,Non c'est facultatif,"Oui, c'est obligatoire pour financer les services publics",Uniquement pour les riches,Seulement si on utilise les hôpitaux,"Oui, c'est obligatoire pour financer les services publics",VIR,1,L'impôt permet de payer les écoles, la police et les routes.
20,Qui a le droit de voter aux élections nationales ?,Tous les résidents en France,Uniquement les citoyens français majeurs,Toute personne de plus de 16 ans,Seulement ceux qui travaillent,Uniquement les citoyens français majeurs,VIR,1,Le vote est un droit fondamental lié à la citoyenneté.
22,Peut-on être forcé de pratiquer une religion ?,Oui si la famille le demande,Non la liberté de culte est totale,Seulement à l'école,Uniquement pendant les fêtes,Non la liberté de culte est totale,LAI,2,Nul ne peut être contraint au respect de dogmes ou de prescriptions religieuses.
23,Les services publics (mairies, préfectures) sont-ils neutres ?,Non ils préfèrent certaines religions,"Oui, ils ne manifestent aucune préférence religieuse",Ils doivent afficher des signes religieux,Ils ne parlent jamais de religion,"Oui, ils ne manifestent aucune préférence religieuse",LAI,2,Les agents publics doivent être impartiaux et neutres.
24,Les élèves peuvent-ils porter des signes religieux ostensibles à l'école publique ?,Oui c'est un droit,Non c'est interdit par la loi de 2004,Seulement les petits signes,Uniquement à l'université,Non c'est interdit par la loi de 2004,LAI,2,L'école publique est un espace de neutralité pour protéger les élèves.
25,Quel est l'objectif de la laïcité à l'école ?,Supprimer les religions,Permettre aux élèves de forger leur propre opinion,Enseigner la Bible,Favoriser l'athéisme,Permettre aux élèves de forger leur propre opinion,LAI,2,La laïcité garantit la liberté de conscience des futurs citoyens.
26,La France est une République démocratique. Qu'est-ce que cela signifie ?,Le pouvoir appartient au roi,Le peuple choisit ses représentants par le vote,L'armée dirige le pays,Une seule personne décide de tout,Le peuple choisit ses représentants par le vote,DEM,3,Le mot démocratie vient du grec "pouvoir au peuple".
27,Qui est le chef de l'État en France ?,Le Premier ministre,Le Président de la République,Le Président de l'Assemblée,Le Roi,Le Président de la République,DEM,3,Le Président est élu au suffrage universel direct pour 5 ans.
28,Où se réunissent les députés pour voter les lois ?,Au Palais de l'Élysée,À l'Assemblée nationale,À la mairie de Paris,À la Cour de Cassation,À l'Assemblée nationale,DEM,3,Les députés représentent le peuple et siègent au Palais Bourbon.
29,Combien de fois peut-on être élu Président consécutivement ?,À l'infini,Deux fois,Trois fois,Une seule fois,Deux fois,DEM,3,Le mandat présidentiel est de 5 ans (quinquennat) renouvelable une fois.
30,Quel document définit les règles de fonctionnement de la République ?,Le Code de la route,La Constitution,Le dictionnaire,Le journal officiel,La Constitution,DEM,3,La Constitution actuelle est celle de la 5ème République (1958).
31,Qui nomme le Premier ministre ?,Le peuple,Le Président de la République,Les députés,Le Conseil constitutionnel,Le Président de la République,DEM,3,Le Président choisit le Premier ministre selon la majorité au Parlement.
32,Quelle est la fonction principale du Parlement ?,Juger les criminels,Voter les lois et contrôler le Gouvernement,Diriger la police,Commander l'armée,Voter les lois et contrôler le Gouvernement,DEM,3,Le Parlement se compose de l'Assemblée nationale et du Sénat.
33,À quel âge devient-on majeur en France ?,16 ans,18 ans,21 ans,15 ans,18 ans,DEM,3,La majorité civile et électorale est fixée à 18 ans.
34,Qu'est-ce que le suffrage universel ?,Le droit de vote réservé aux hommes,Le droit de vote pour tous les citoyens majeurs,Le vote des pays de l'Univers,Le vote réservé aux propriétaires,Le droit de vote pour tous les citoyens majeurs,DEM,3,Il permet l'égalité de tous les citoyens devant l'urne.
35,Les femmes ont le droit de vote en France depuis...,1789,1944,1968,2000,1944,DEM,3,Les femmes ont voté pour la première fois en 1945.
36,Qu'est-ce que la séparation des pouvoirs ?,Le partage du pays en régions,La distinction entre législatif, exécutif et judiciaire,L'indépendance des départements,Le divorce des politiciens,La distinction entre législatif, exécutif et judiciaire,DEM,3,Cela évite qu'une seule personne possède tous les pouvoirs.
38,Une femme a-t-elle le droit de travailler sans l'accord de son mari ?,Non c'est interdit,Oui c'est un droit égal,Seulement avec un contrat écrit,Uniquement si elle n'a pas d'enfants,Oui c'est un droit égal,EGA,2,Les femmes et les hommes ont les mêmes droits dans la vie professionnelle.
40,Qui est responsable de l'éducation des enfants ?,L'État uniquement,Les parents (autorité parentale),L'école seule,Les grands-parents,Les parents (autorité parentale),EGA,2,Le père et la mère exercent ensemble l'autorité parentale.
41,Le mariage pour tous (personnes de même sexe) est-il autorisé ?,Non c'est illégal,Oui depuis 2013,Seulement à Paris,Uniquement pour les étrangers,Oui depuis 2013,EGA,2,La loi garantit l'égalité des droits pour tous les couples.
42,Une femme peut-elle ouvrir un compte bancaire seule ?,Non jamais,Oui depuis 1965,Seulement si elle travaille,Uniquement si elle est veuve,Oui depuis 1965,EGA,2,C'est une étape clé de l'indépendance économique des femmes.
43,Les violences au sein du couple sont-elles punies ?,Seulement si c'est grave,Oui c'est un crime ou délit interdit par la loi,Non c'est une affaire privée,Uniquement si les voisins se plaignent,Oui c'est un crime ou délit interdit par la loi,EGA,2,La loi protège toutes les victimes de violences domestiques.
44,Qu'est-ce que l'égalité des chances ?,Donner la même chose à tout le monde,Permettre à chacun de réussir selon ses talents quel que soit son milieu,Favoriser les plus riches,Réserver les postes aux hommes,Permettre à chacun de réussir selon ses talents quel que soit son milieu,EGA,2,L'école et le mérite sont les piliers de cette égalité.
45,Un employeur peut-il refuser d'embaucher une femme parce qu'elle est enceinte ?,Oui c'est son droit,Non c'est une discrimination interdite,Seulement pour les travaux fatigants,Oui si c'est une petite entreprise,Non c'est une discrimination interdite,EGA,2,La protection de la maternité est un droit fondamental.
46,La France fait partie de quelle organisation européenne ?,L'ALENA,L'Union européenne,L'ASEAN,Le Mercosur,L'Union européenne,EUR,3,La France est l'un des pays fondateurs de l'UE.
47,Quelle est la monnaie utilisée en France ?,Le Franc,L'Euro,Le Dollar,La Livre,L'Euro,EUR,3,L'Euro est la monnaie commune à 20 pays de l'Union européenne.
48,Le drapeau européen est...,Rouge avec des étoiles noires,Bleu avec 12 étoiles jaunes en cercle,Vert et blanc,Bleu avec une seule étoile,Bleu avec 12 étoiles jaunes en cercle,EUR,3,Les étoiles symbolisent les idéaux d'unité, de solidarité et d'harmonie.
49,Que permet l'espace Schengen ?,Le contrôle systématique aux frontières,La libre circulation des personnes entre les pays membres,Le commerce exclusif avec la Chine,L'obligation d'avoir un visa interne,La libre circulation des personnes entre les pays membres,EUR,3,On peut voyager entre les pays membres sans contrôle permanent.
50,Où se trouve le siège du Parlement européen ?,À Londres,À Strasbourg,À Berlin,À Rome,À Strasbourg,EUR,3,Strasbourg est un symbole de la réconciliation franco-allemande.
52,Quel est l'âge de l'instruction obligatoire en France ?,De 6 à 16 ans,De 3 à 16 ans,De 5 à 18 ans,De 3 à 10 ans,De 3 à 16 ans,VIR,1,L'école est obligatoire pour tous les enfants résidant en France.
54,Peut-on être puni pour ses opinions politiques ?,Oui si elles sont différentes du Président,Non chacun est libre d'avoir ses opinions,Seulement pendant les élections,Oui c'est dangereux,Non chacun est libre d'avoir ses opinions,DEM,3,La liberté d'opinion est un droit de l'homme fondamental.
55,La liberté d'expression permet-elle d'insulter quelqu'un ?,Oui c'est la liberté,Non elle s'arrête là où commencent l'injure et la haine,Seulement sur internet,Uniquement dans les journaux,Non elle s'arrête là où commencent l'injure et la haine,VIR,1,La loi punit les propos racistes, sexistes ou homophobes.
56,Qu'est-ce que la sécurité sociale ?,Une police privée,Un système de protection contre les risques de la vie (santé, retraite),Une assurance pour les voitures,Une banque pour les pauvres,Un système de protection contre les risques de la vie (santé, retraite),VIR,1,Elle est basée sur le principe de solidarité.
58,Quel droit permet de s'associer pour défendre ses intérêts au travail ?,Le droit de retrait,Le droit syndical,Le droit au chômage,Le droit de vote,Le droit syndical,DEM,3,Les syndicats négocient les conditions de travail.
59,En France, qui possède le pouvoir législatif ?,Le Gouvernement,Le Parlement,Le juge,La police,Le Parlement,DEM,3,Le Parlement discute, amende et vote les lois.
60,Le respect de la vie privée est-il un droit ?,Non c'est secondaire,Oui c'est un droit fondamental protégé par la loi,Seulement pour les célébrités,Uniquement à la maison,Oui c'est un droit fondamental protégé par la loi,VIR,1,Chacun a droit au respect de son intimité et de ses données.
62,La France est une République "indivisible". Cela veut dire que...,On ne peut pas séparer le territoire français,Le Président décide de tout,Il n'y a qu'une seule ville,On ne peut pas changer les lois,On ne peut pas séparer le territoire français,VIR,1,La loi est la même sur tout le territoire de la République.
64,Peut-on pratiquer sa religion dans la rue ?,Oui si cela ne trouble pas l'ordre public,Non c'est totalement interdit,Uniquement le dimanche,Seulement avec une autorisation du maire,Oui si cela ne trouble pas l'ordre public,LAI,2,L'espace public appartient à tous, les manifestations religieuses y sont encadrées.
66,Que garantit le contrat d'engagement républicain ?,Un travail immédiat,Le respect des valeurs de la France,Un logement gratuit,La nationalité française automatique,Le respect des valeurs de la France,VIR,4,C'est l'engagement de respecter les principes de la République.
67,Si une personne ne respecte pas les principes du contrat, que se passe-t-il ?,Rien du tout,Le titre de séjour peut être retiré ou non renouvelé,Elle doit payer une petite amende,Elle est envoyée en prison immédiatement,Le titre de séjour peut être retiré ou non renouvelé,VIR,4,Le respect des valeurs républicaines est une condition du séjour.
68,Le contrat d'intégration s'adresse à qui ?,Aux touristes,Aux étrangers admis pour la première fois au séjour et souhaitant s'installer,Uniquement aux étudiants,Aux Français nés à l'étranger,Aux étrangers admis pour la première fois au séjour et souhaitant s'installer,VIR,4,Le CIR (Contrat d'Intégration Républicaine) aide à l'accueil et l'intégration.
69,L'apprentissage du français est-il obligatoire dans le parcours d'intégration ?,Non c'est optionnel,"Oui, c'est un pilier de l'intégration",Seulement si on veut travailler,Uniquement pour les jeunes,"Oui, c'est un pilier de l'intégration",VIR,4,La maîtrise de la langue est essentielle pour participer à la vie de la société.
70,Une formation civique est-elle prévue dans le contrat ?,Non c'est inutile,Oui pour comprendre les valeurs et le fonctionnement de la France,Seulement pour ceux qui ne savent pas lire,Uniquement sur l'histoire de l'art,Oui pour comprendre les valeurs et le fonctionnement de la France,VIR,4,Elle présente les principes de liberté, d'égalité et de laïcité.
71,Le contrat mentionne le respect des emblèmes. De quoi s'agit-il ?,Du logo de la Préfecture uniquement.,"Du drapeau, de l'hymne et de la devise.",Des monuments historiques seulement.,Des marques de vêtements françaises.,"Du drapeau, de l'hymne et de la devise.",VIR,4,Le respect de la République passe par le respect de ses emblèmes officiels.
72,Elena pense que l'égalité ne concerne que les salaires. Que dit le contrat ?,Elle a raison.,Le contrat insiste surtout sur l'égalité entre les femmes et les hommes.,L'égalité n'est pas mentionnée dans le contrat.,Le contrat dit que les hommes ont plus de droits.,Le contrat insiste surtout sur l'égalité entre les femmes et les hommes.,VIR,4,L'égalité entre les sexes est une valeur fondamentale du contrat d'engagement.
73,Que signifie le principe d'intégrité mentionné dans le contrat ?,Respecter les frontières nationales.,Avoir un casier judiciaire vierge.,Parler français parfaitement.,Travailler dans la police.,Respecter les frontières nationales.,VIR,4,L'intégrité fait référence au respect du territoire et des frontières de la France.
74,Omar veut renouveler son titre de séjour après 2 ans. Doit-il signer à nouveau ?,"Non, on ne signe qu'une seule fois dans sa vie.","Oui, le contrat est obligatoire lors d'une demande ou d'un renouvellement.",Seulement s'il a changé d'adresse.,Uniquement s'il a perdu son ancien contrat.,"Oui, le contrat est obligatoire lors d'une demande ou d'un renouvellement.",VIR,4,La procédure s'applique aussi bien pour une première demande que pour un renouvellement.